,totalRegs,agencyID,agencyName,year
0,362,72,Susquehanna River Basin Commission,2020
1,249,87,Marine Mammal Commission,2020
2,514,91,Delaware River Basin Commission,2020
3,162,132,Gulf Coast Ecosystem Restoration Council,2020
4,173206,219,Environmental Protection Agency,2020
5,65,222,Utah Reclamation Mitigation and Conservation Commission,2020
6,392,232,Water Resources Council,2020
7,303,72,Susquehanna River Basin Commission,2004
8,249,87,Marine Mammal Commission,2004
9,463,91,Delaware River Basin Commission,2004
10,74,201,Morris K. Udall Scholarship and Excellence In National Environmental Policy Foundation,2004
11,128520,219,Environmental Protection Agency,2004
12,65,222,Utah Reclamation Mitigation and Conservation Commission,2004
13,392,232,Water Resources Council,2004
14,401,72,Susquehanna River Basin Commission,2012
15,249,87,Marine Mammal Commission,2012
16,463,91,Delaware River Basin Commission,2012
17,74,201,Morris K. Udall Scholarship and Excellence In National Environmental Policy Foundation,2012
18,161371,219,Environmental Protection Agency,2012
19,65,222,Utah Reclamation Mitigation and Conservation Commission,2012
20,392,232,Water Resources Council,2012
21,297,72,Susquehanna River Basin Commission,2003
22,249,87,Marine Mammal Commission,2003
23,463,91,Delaware River Basin Commission,2003
24,74,201,Morris K. Udall Scholarship and Excellence In National Environmental Policy Foundation,2003
25,130489,219,Environmental Protection Agency,2003
26,65,222,Utah Reclamation Mitigation and Conservation Commission,2003
27,392,232,Water Resources Council,2003
28,365,72,Susquehanna River Basin Commission,2010
29,249,87,Marine Mammal Commission,2010
30,463,91,Delaware River Basin Commission,2010
31,74,201,Morris K. Udall Scholarship and Excellence In National Environmental Policy Foundation,2010
32,151939,219,Environmental Protection Agency,2010
33,65,222,Utah Reclamation Mitigation and Conservation Commission,2010
34,392,232,Water Resources Council,2010
35,332,72,Susquehanna River Basin Commission,2007
36,249,87,Marine Mammal Commission,2007
37,463,91,Delaware River Basin Commission,2007
38,74,201,Morris K. Udall Scholarship and Excellence In National Environmental Policy Foundation,2007
39,141627,219,Environmental Protection Agency,2007
40,65,222,Utah Reclamation Mitigation and Conservation Commission,2007
41,392,232,Water Resources Council,2007
42,297,72,Susquehanna River Basin Commission,2001
43,249,87,Marine Mammal Commission,2001
44,460,91,Delaware River Basin Commission,2001
45,116564,219,Environmental Protection Agency,2001
46,65,222,Utah Reclamation Mitigation and Conservation Commission,2001
47,392,232,Water Resources Council,2001
48,362,72,Susquehanna River Basin Commission,2019
49,249,87,Marine Mammal Commission,2019
50,514,91,Delaware River Basin Commission,2019
51,162,132,Gulf Coast Ecosystem Restoration Council,2019
52,74,201,Morris K. Udall Scholarship and Excellence In National Environmental Policy Foundation,2019
53,171744,219,Environmental Protection Agency,2019
54,65,222,Utah Reclamation Mitigation and Conservation Commission,2019
55,392,232,Water Resources Council,2019
56,336,72,Susquehanna River Basin Commission,2008
57,249,87,Marine Mammal Commission,2008
58,463,91,Delaware River Basin Commission,2008
59,74,201,Morris K. Udall Scholarship and Excellence In National Environmental Policy Foundation,2008
60,144778,219,Environmental Protection Agency,2008
61,65,222,Utah Reclamation Mitigation and Conservation Commission,2008
62,392,232,Water Resources Council,2008
63,304,72,Susquehanna River Basin Commission,2006
64,249,87,Marine Mammal Commission,2006
65,463,91,Delaware River Basin Commission,2006
66,74,201,Morris K. Udall Scholarship and Excellence In National Environmental Policy Foundation,2006
67,140652,219,Environmental Protection Agency,2006
68,65,222,Utah Reclamation Mitigation and Conservation Commission,2006
69,392,232,Water Resources Council,2006
70,303,72,Susquehanna River Basin Commission,2005
71,249,87,Marine Mammal Commission,2005
72,463,91,Delaware River Basin Commission,2005
73,74,201,Morris K. Udall Scholarship and Excellence In National Environmental Policy Foundation,2005
74,134413,219,Environmental Protection Agency,2005
75,65,222,Utah Reclamation Mitigation and Conservation Commission,2005
76,392,232,Water Resources Council,2005
77,399,72,Susquehanna River Basin Commission,2015
78,249,87,Marine Mammal Commission,2015
79,463,91,Delaware River Basin Commission,2015
80,160,132,Gulf Coast Ecosystem Restoration Council,2015
81,74,201,Morris K. Udall Scholarship and Excellence In National Environmental Policy Foundation,2015
82,163243,219,Environmental Protection Agency,2015
83,65,222,Utah Reclamation Mitigation and Conservation Commission,2015
84,392,232,Water Resources Council,2015
85,357,72,Susquehanna River Basin Commission,2009
86,249,87,Marine Mammal Commission,2009
87,463,91,Delaware River Basin Commission,2009
88,74,201,Morris K. Udall Scholarship and Excellence In National Environmental Policy Foundation,2009
89,150020,219,Environmental Protection Agency,2009
90,65,222,Utah Reclamation Mitigation and Conservation Commission,2009
91,392,232,Water Resources Council,2009
92,297,72,Susquehanna River Basin Commission,2002
93,249,87,Marine Mammal Commission,2002
94,460,91,Delaware River Basin Commission,2002
95,74,201,Morris K. Udall Scholarship and Excellence In National Environmental Policy Foundation,2002
96,122987,219,Environmental Protection Agency,2002
97,65,222,Utah Reclamation Mitigation and Conservation Commission,2002
98,392,232,Water Resources Council,2002
99,297,72,Susquehanna River Basin Commission,2000
100,249,87,Marine Mammal Commission,2000
101,460,91,Delaware River Basin Commission,2000
102,110358,219,Environmental Protection Agency,2000
103,65,222,Utah Reclamation Mitigation and Conservation Commission,2000
104,392,232,Water Resources Council,2000
105,329,72,Susquehanna River Basin Commission,2017
106,249,87,Marine Mammal Commission,2017
107,514,91,Delaware River Basin Commission,2017
108,162,132,Gulf Coast Ecosystem Restoration Council,2017
109,74,201,Morris K. Udall Scholarship and Excellence In National Environmental Policy Foundation,2017
110,169973,219,Environmental Protection Agency,2017
111,65,222,Utah Reclamation Mitigation and Conservation Commission,2017
112,392,232,Water Resources Council,2017
113,411,72,Susquehanna River Basin Commission,2016
114,249,87,Marine Mammal Commission,2016
115,483,91,Delaware River Basin Commission,2016
116,162,132,Gulf Coast Ecosystem Restoration Council,2016
117,74,201,Morris K. Udall Scholarship and Excellence In National Environmental Policy Foundation,2016
118,168717,219,Environmental Protection Agency,2016
119,65,222,Utah Reclamation Mitigation and Conservation Commission,2016
120,392,232,Water Resources Council,2016
121,409,72,Susquehanna River Basin Commission,2014
122,249,87,Marine Mammal Commission,2014
123,463,91,Delaware River Basin Commission,2014
124,74,201,Morris K. Udall Scholarship and Excellence In National Environmental Policy Foundation,2014
125,161200,219,Environmental Protection Agency,2014
126,65,222,Utah Reclamation Mitigation and Conservation Commission,2014
127,392,232,Water Resources Council,2014
128,362,72,Susquehanna River Basin Commission,2018
129,249,87,Marine Mammal Commission,2018
130,514,91,Delaware River Basin Commission,2018
131,162,132,Gulf Coast Ecosystem Restoration Council,2018
132,74,201,Morris K. Udall Scholarship and Excellence In National Environmental Policy Foundation,2018
133,170902,219,Environmental Protection Agency,2018
134,65,222,Utah Reclamation Mitigation and Conservation Commission,2018
135,392,232,Water Resources Council,2018
136,392,72,Susquehanna River Basin Commission,2011
137,249,87,Marine Mammal Commission,2011
138,463,91,Delaware River Basin Commission,2011
139,74,201,Morris K. Udall Scholarship and Excellence In National Environmental Policy Foundation,2011
140,157737,219,Environmental Protection Agency,2011
141,65,222,Utah Reclamation Mitigation and Conservation Commission,2011
142,392,232,Water Resources Council,2011
